Time (s);Acceleration x (m/s^2);Acceleration y (m/s^2);Acceleration z (m/s^2);Absolute acceleration (m/s^2)
2,623561322;0,885854602;16,44337654;3,622427225;16,86094154
2,633484801;3,221398354;15,32289124;1,213860273;15,70483556
2,643434405;4,9763484;12,87362289;2,533065319;14,0324848
2,653448243;3,867832899;10,60152531;2,324769735;11,52202345
2,663428548;2,540247917;9,603142738;1,260547161;10,01310087
2,673520914;1,800439715;8,82263279;0,985213995;9,058205072
2,683525326;1,468842745;7,825448036;1,289277673;8,065815079
2,693455475;0,797269166;6,953958988;1,8579005;7,241890499
2,705064664;0,226252064;5,272032261;2,481590033;5,831278011
2,714249649;0,226252064;5,272032261;2,481590033;5,831278011
2,723840501;0,738611221;3,313575268;2,341529369;4,124086248
2,733619182;1,104924083;0,657208383;2,627636433;2,92527833
2,743511153;0,159214407;-4,620809078;1,368286252;4,821766588
2,753454873;-0,623689532;-7,044938564;0,41060558;7,084401524
2,763424962;-1,102529883;-9,006986618;-0,392649084;9,082706281
2,773422011;-1,241393566;-8,898050308;-0,843956113;9,023780759
2,783398062;-1,22822547;-6,114790916;-0,652419984;6,270953483
2,793461426;-1,180341482;-3,484760523;-0,718260527;3,748687784
2,803646103;-1,222239971;-1,590947032;-0,703895271;2,126135357
2,813549353;-1,242590666;-0,336385339;-0,487220049;1,376433811
2,823559077;-1,124077678;0,536301196;0,150834709;1,254559966
2,833691282;-0,788889468;1,157596469;0,581790984;1,516857583
2,843553531;-0,608127236;1,544260144;0,766144514;1,827986746
2,853479629;-0,617704034;1,622071624;0,599747539;1,836401845
2,86351346;-0,762553215;1,41257906;0,138863698;1,611257314
2,873547406;-0,82001406;1,091755986;-0,320823014;1,40259816
2,88357089;-0,648828685;0,830788016;-0,654814184;1,240954877
2,893561929;-0,299275219;0,803254664;-0,565031588;1,026666649
2,903536537;-0,196324542;0,968454599;0,447715729;1,084848843
2,913596262;0,189141929;1,323993564;0,949300945;1,640093263
2,923599693;1,085770488;2,322375536;1,510741234;2,975678873
2,933550835;1,595735431;3,839102507;1,240196466;4,338567378
2,943567318;1,26294136;5,543774128;1,042674899;5,780624828
